CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Segment
12347.0,3,7,4060.4,5,5,5,Champions
12348.0,76,4,835.0799999999999,2,4,3,At Risk
12349.0,19,1,1457.55,4,1,4,Potential Loyalists
12350.0,312,1,294.4,1,1,2,Lost
12352.0,37,7,1385.74,3,5,4,Loyal Customers
12353.0,205,1,89.0,1,1,1,Lost
12354.0,233,1,1079.4,1,1,4,Lost
12355.0,215,1,459.4,1,1,3,Lost
12356.0,23,3,2386.63,4,3,5,Potential Loyalists
12357.0,34,1,6207.67,3,1,5,At Risk
12358.0,2,2,928.0600000000001,5,2,4,Potential Loyalists
12359.0,58,4,6310.03,3,4,5,Loyal Customers
12360.0,53,3,2302.06,3,3,5,At Risk
12361.0,289,1,174.9,1,1,1,Lost
12362.0,4,10,4737.23,5,5,5,Champions
12363.0,110,2,552.0,2,2,3,At Risk
12364.0,8,3,1143.3,5,3,4,Potential Loyalists
12365.0,293,1,320.69,1,1,2,Lost
12367.0,5,1,150.9,5,1,1,Recent Customers
12370.0,52,4,3300.98,3,4,5,Loyal Customers
12371.0,60,1,1527.96,3,1,4,At Risk
12372.0,72,3,1196.04,2,3,4,At Risk
12373.0,313,1,324.6,1,1,2,Lost
12374.0,26,1,622.93,4,1,3,Potential Loyalists
12375.0,11,2,377.5,5,2,2,Recent Customers
12377.0,317,2,1548.12,1,2,4,At Risk
12378.0,130,1,3948.14,2,1,5,At Risk
12379.0,82,2,777.24,2,2,3,At Risk
12380.0,22,4,2427.81,4,4,5,Loyal Customers
12381.0,5,3,1474.81,5,3,4,Potential Loyalists
12383.0,185,5,1564.72,1,4,4,At Risk
12384.0,29,2,425.27000000000004,4,2,2,At Risk
12386.0,339,2,358.7,1,2,2,At Risk
12388.0,16,6,2780.66,4,5,5,Loyal Customers
12390.0,80,1,504.84000000000003,2,1,3,At Risk
12391.0,22,1,439.66,4,1,2,At Risk
12393.0,73,4,1582.6000000000001,2,4,4,At Risk
12394.0,64,2,629.92,3,2,3,At Risk
12395.0,20,12,2387.43,4,5,5,Loyal Customers
12397.0,36,2,2214.9,3,2,5,At Risk
12398.0,46,1,1435.66,3,1,4,At Risk
12399.0,120,4,963.45,2,4,4,At Risk
12401.0,305,1,69.3,1,1,1,Lost
12402.0,325,1,195.6,1,1,1,Lost
12403.0,50,1,391.7,3,1,2,At Risk
12405.0,149,1,1390.39,2,1,4,At Risk
12406.0,23,2,3270.3,4,2,5,Potential Loyalists
12407.0,50,5,1420.08,3,4,4,Loyal Customers
12408.0,33,5,2618.55,3,4,5,Loyal Customers
12409.0,79,3,9657.07,2,3,5,At Risk
12410.0,310,2,533.33,1,2,3,At Risk
12412.0,75,3,1142.88,2,3,4,At Risk
12413.0,67,3,686.1,3,3,3,At Risk
12414.0,218,3,442.41,1,3,2,At Risk
12415.0,25,15,50270.17,4,5,5,Loyal Customers
12417.0,4,9,3226.1,5,5,5,Champions
12418.0,113,1,668.58,2,1,3,At Risk
12420.0,64,1,600.39,3,1,3,At Risk
12421.0,16,4,639.04,4,4,3,Loyal Customers
12422.0,96,3,683.5600000000001,2,3,3,At Risk
12423.0,1,8,1634.31,5,5,4,Champions
12424.0,163,2,1608.3200000000002,2,2,4,At Risk
12425.0,79,1,777.2,2,1,3,At Risk
12426.0,195,1,510.73,1,1,3,Lost
12427.0,22,3,639.32,4,3,3,Potential Loyalists
12428.0,26,8,6405.26,4,5,5,Loyal Customers
12429.0,10,4,3338.0,5,4,5,Loyal Customers
12430.0,44,1,216.4,3,1,1,At Risk
12431.0,36,15,5087.11,3,5,5,Loyal Customers
12432.0,43,4,4359.32,3,4,5,Loyal Customers
12433.0,1,7,12378.51,5,5,5,Champions
12434.0,85,2,806.14,2,2,3,At Risk
12435.0,80,2,6762.450000000001,2,2,5,At Risk
12436.0,100,1,429.01000000000005,2,1,2,At Risk
12437.0,2,18,4369.41,5,5,5,Champions
12438.0,15,2,2466.85,4,2,5,Potential Loyalists
12441.0,368,1,155.55,1,1,1,Lost
12442.0,4,1,144.06,5,1,1,Recent Customers
12444.0,22,5,4085.46,4,4,5,Loyal Customers
12445.0,23,1,77.4,4,1,1,At Risk
12446.0,58,1,1002.3100000000001,3,1,4,At Risk
12447.0,244,1,431.49,1,1,2,Lost
12448.0,45,1,365.45,3,1,2,At Risk
12449.0,23,4,3596.29,4,4,5,Loyal Customers
12450.0,157,2,197.88,2,2,1,At Risk
12451.0,11,5,8893.52,5,4,5,Loyal Customers
12452.0,17,1,348.57,4,1,2,At Risk
12453.0,135,1,707.09,2,1,3,At Risk
12454.0,57,1,2918.34,3,1,5,At Risk
12455.0,74,5,2181.46,2,4,5,At Risk
12456.0,45,3,2581.04,3,3,5,At Risk
12457.0,67,4,1685.23,3,4,4,Loyal Customers
12458.0,72,2,787.4,2,2,3,At Risk
12461.0,155,1,626.88,2,1,3,At Risk
12462.0,19,2,937.59,4,2,4,Potential Loyalists
12463.0,54,4,1200.78,3,4,4,Loyal Customers
12464.0,11,8,957.05,5,5,4,Champions
12465.0,18,2,682.1899999999999,4,2,3,Potential Loyalists
12468.0,188,2,657.54,1,2,3,At Risk
12471.0,3,27,17352.649999999998,5,5,5,Champions
12472.0,33,7,6068.11,3,5,5,Loyal Customers
12473.0,54,3,2585.73,3,3,5,At Risk
12474.0,18,18,6690.09,4,5,5,Loyal Customers
12475.0,54,1,665.38,3,1,3,At Risk
12476.0,16,11,5898.42,4,5,5,Loyal Customers
12477.0,23,6,12554.74,4,5,5,Loyal Customers
12478.0,4,1,545.99,5,1,3,Potential Loyalists
12479.0,12,1,473.2,5,1,3,Potential Loyalists
12480.0,29,4,2568.83,4,4,5,Loyal Customers
12481.0,23,10,5003.82,4,5,5,Loyal Customers
12483.0,18,8,1910.98,4,5,5,Loyal Customers
12484.0,36,4,3939.32,3,4,5,Loyal Customers
12488.0,10,3,1244.66,5,3,4,Potential Loyalists
12489.0,338,1,298.93,1,1,2,Lost
12490.0,6,10,4859.93,5,5,5,Champions
